국가별,시점,국내총생산,고용률,국민부담률,경제활동참가율 (%),무역의존도_수출,무역의존도_수입,수출,수입,외환보유액,부채비율,실업률,평균근로자세금,디플레이터,GDP_성장률
독일,2013,46286,73.5,37,60.4,38.71,31.64,1444913,1181116,198208,84.328,5.2,49.3,104.6,0.4
독일,2014,47960,73.8,36.8,60.4,38.47,31.08,1494234,1207209,192750,84.107,5,49.3,106.6,2.2
독일,2015,41087,74,37.3,60.2,39.51,31.32,1326206,1051132,173682,80.045,4.6,49.4,108.5,1.5
독일,2016,42108,74.7,37.7,61,38.48,30.43,1334343,1055316,185286,77.221,4.1,49.5,110,2.2
독일,2017,44443,75.3,37.8,61.2,39.42,31.66,1448178,1162898,200092,72.786,3.8,49.6,111.5,2.6
독일,2018,47787,75.9,38.5,61.3,39.39,32.42,1560537,1284352,198228,69.588,3.4,49.5,113.3,1.3
독일,2019,46468,76.7,38.8,61.9,38.58,31.96,1489430,1233994,223833,68.228,3.1,49.3,115.8,0.6
독일,2020,45724,76.2,,61.6,36.27,30.76,1380378,1170726,268776,,3.8,49,117.6,-4.9
그리스,2000,12043,56.5,33.4,52.3,146.18,137.7,190229,179199,14178,112.566,11.3,38.7,75,3.9
그리스,2001,12538,56.3,31.9,51.5,64.67,69.97,88068,95299,6244,116.265,10.5,38.1,77.6,4.1
그리스,2002,14110,57.4,33.1,51.8,6.72,20.36,10332,31316,9432,117.505,10,39.1,80.2,3.9
그리스,2003,18478,58.5,31.5,52.2,6.67,21.9,13476,44228,5801,111.032,9.4,39.7,83,5.8
그리스,2004,21955,59.1,30.5,53,6.92,23.33,16642,56125,2708,115.329,10.3,41.1,85.5,5.1
그리스,2005,22552,59.6,31.9,52.9,7.44,23.3,18436,57728,2287,116.87,10,41.2,87.4,0.6
그리스,2006,24801,60.6,31.1,53.1,7.88,24.62,21532,67297,2850,115.539,9,42.2,90.5,5.7
그리스,2007,28827,60.9,31.8,52.9,8.34,26.64,26552,84851,3658,113.001,8.4,42,93.6,3.3
그리스,2008,31997,61.4,31.8,53,8.82,27.26,31281,96615,3472,117.643,7.8,41.4,97.7,-0.3
그리스,2009,29711,60.9,30.8,53.5,7.62,22.45,25148,74069,5546,135.517,9.6,41.2,100.2,-4.3
그리스,2010,26691,59.1,32,53.5,9.44,22.2,28017,65906,6369,130.357,12.7,40,100,-5.5
그리스,2011,25451,55.1,33.6,52.7,11.95,23.6,33780,66705,6900,113.575,17.9,42.9,101,-10.1
그리스,2012,21915,50.8,35.8,52.3,14.59,25.48,35324,61686,7255,167.083,24.4,42.8,100.7,-7.1
그리스,2013,21749,48.8,35.7,52,15.15,25.52,36140,60859,5752,181.648,27.5,41.1,98.7,-2.7
그리스,2014,21602,49.4,36,51.8,15.28,26.34,35961,61984,6212,182.958,26.5,40.2,96.8,0.7
그리스,2015,18050,50.8,36.4,52,14.62,23.95,28554,46786,6026,184.448,24.9,38.9,96.5,-0.4
그리스,2016,17885,52,38.4,52.2,14.61,24.29,28151,46810,6893,189.224,23.5,40.3,95.9,-0.5
그리스,2017,18562,53.5,38.6,52.1,16.34,26.8,32629,53496,7807,192.727,21.5,40.6,96.3,1.3
그리스,2018,19766,54.9,38.9,51.9,18.62,30.11,39501,63877,7585,199.17,19.3,41,96.2,1.6
